slang,baku
@,di
22nya,dua-duanya
7an,tujuan
aaaaaaakkk,ah
aaaaahhhh,ah
aaaammmiiiinnnn,amin
aaahh,ah
aaamiiin,amin
aaamiiinnn,amin
aaamin,amin
aahh,ah
aama,sama
aamien,amien
aamiiiiinnn,amin
aamiiiinnnnn,amin
aamiiin,amin
aamiin,amin
aamiinin,amin
aamiinnn,amin
aamin,amin
ababil,abg labil
"abal""",abal-abal
abal2,abal-abal
abanggg,abang
abanggku,abangku
abeees,habis
abes,habis
abez,habis
abg,abang
abgnya,abangnya
abgnyaah,abangnya
abiiiiisssss,habis
abiiiss,habis
abis,habis
abis2,habis-habis
abiss,habis
abisss,habis
abiz,habis
abizzz,habis
abizzzz,habis
abs,habis
acc,accord
accord,sesuai
acra,acara
ad,ada
ada2,ada-ada
adaa,ada
adain,mengadakan
adapin,menghadapi
add,ada
ade,adek
adeeek,adek
adek2,adek-adek
adekx,adeknya
ademm,adem
ademmm,adem
adengan,adegan
adenya,adeknya
adeuh,aduh
adiik,adik
adkah,adakah
adl,adalah
adlah,adalah
adlh,adalah
adoh,aduh
aduhh,aduh
aduhhh,aduh
aduhhhhhhhhh,aduh
aduuh,aduh
aduuhh,aduh
aduuhhh,aduh
aduuhhhh,aduh
aduuuh,aduh
adyem,adem
ae,saja
aee,saja
aelah,alah
aer,air
afaik,as far as i know
agama'ny,agamanya
agan2,agan-agan
agk,agak
agma,agama
aha,tertawa
ahaha,haha
ahahahanjirrr,anjing
ahh,ah
ahhh,ah
ahhhh,ah
ahiok,ahok
ahokncc,ahok
aing,saya
aj,saja
aja,saja
ajaa,saja
ajaaa,saja
ajaaahhhhh,saja
ajah,saja
ajahhh,saja
ajaibb,ajaib
ajaibbbbb,ajaib
ajakin,mengajak
ajarin,ajarkan
aje,saja
ajep-ajep,dunia gemerlap
ajh,saja
ajha,saja
ajhh,saja
ajibb,ajib
ajj,saja
ajja,saja
ajjh,saja
ak,saya
aka,dikenal juga sebagai
akau,aku
akhirt,akhirat
akhirx,akhirnya
akhlah,akhlak
akhrt,akhirat
akika,aku
akko,aku
akkoh,aku
akku,aku
akn,akan
akuh,aku
akuhh,aku
akuu,aku
akuuu,aku
akuuuur,akur
akuwh,aku
akyu,aku
ala2,ala-ala
alaami,alami
alak,kepala
alamii,alami
alamiii,alami
alay,norak
alhamd,alhamdulillah
alhamdulillaaaaah,alhamdulillah
alissnyaa,alisnya
aljasa,asal jadi saja
alkhamdulilah,alhamdulillah
allaahh,allah
allahh,allah
allahhhh,allah
allahhhhhhh,allah
alloh,allah
alm,almarhum
almaidahyg,almaidah
almh,almarhumah
aloh,allah
alow,halo
alu,aku
am,sama
ama,sama
amaattt,amat
amad,amat
amatt,amat
ambilin,ambilkan
ambl,ambil
ameen,amin
amen,amin
amerik,amarika
amfun,ampun
amiend,amien
amienn,amien
amiennn,amien
amiennnn,amien
amiien,amien
amiiiiiiiiiiiiiiiiin,amin
amiiiiiiiiiiin,amin
amiiiiiiiiiinnnnnnn,amin
amiiiiin,amin
amiiiiinnn,amin
amiiiiinnnnn,amin
amiiiin,amin
amiiin,amin
amiiinn,amin
amiiinnn,amin
amiiinnnn,amin
amiin,amin
amiinn,amin
amiinnn,amin
amiinnnn,amin
amin2,amin-amin
aminn,amin
aminn2,amin-amin
aminnn,amin
aminnnn,amin
aminnnn2,amin-amin
aminnnnn,amin
amit2,amit-amit
ammiiin,amin
ammin,amin
amohhh,kamu
ampe,sampai
amploppp,amplop
ampunn,ampun
ampunnnn,ampun
ampunnnnn,ampun
ampuun,ampun
ampuunn,ampun
ampuuun,ampun
ampuuunn,ampun
ampyunnnn,ampun
amu,kamu
"anak""",anak-anak
anak2,anak-anak
anak2e,anak-anaknya
anak2mu,anak-anakmu
anak2nya,anak-anaknya
anakny,anaknya
anakx,anaknya
anak'y,anaknya
analisise,analisis
ancur,hancur
ancurrr,hancur
andaaa,anda
aned,banget
anedh,banget
aneed,banget
aneh2,aneh-aneh
anehhh,aneh
aneut,banget
angis,nangis
anj,anjing
anjaaaayyyyyy,anjing
anjaayy,anjing
anjay,anjing
anjayyyy,anjing
anjingnyaa,anjingnya
anjir,anjing
anjirr,anjing
anjirrr,anjing
anjirrrr,anjing
anjjjjjjjj,anjing
anjrit,anjing
ank,anak
"ank""",anak-anak
ank2,anak-anak
ank2nya,anak-anaknya
ankknyaaa,anaknya
anknya,anaknya
ankx,anaknya
annnnjjjjjjrrrr,anjing
anter,antar
anterin,antarkan
anugrah,anugerah
anyeng,anjing
ap,apa
ap2,apa-apa
"apa""",apa-apa
apa2,apa-apa
apa2nya,apa-apanya
apaa,apa
apaaa,apa
apaaan,apa
apaalahh,apalah
apaan,apa
apah,apa
apain,apai
apal,hapal
apalagiii,apalagi
apalai,apalagi
apalg,apalagi
apalgi,apalagi
apasih,apa sih
apasihhh,apa sih
ape,apa
apes,sial
apikkkk,apik
aplikasiin,mengaplikasikan
aplks,aplikasi
aplot,unggah
apo,apa
appa,apa
applikasi,aplikasi
aps,apa
apun,apapun
apus,hapus
apva,apa
aq,saya
aqu,aku
aquwh,aku
arab2,arab-arab
arghhh,ah
"artis""",artis-artis
artis2,artis-artis
artisnyaa,artisnya
"artist""",artis-artis
artix,artinya
asap,sesegera mungkin
asbun,asal bunyi
aseek,asyik
aseekk,asyik
asek,asyik
asekk,asyik
aseknya,asyiknya
asem,asam
asikkk,asik
asliii,asli
asliiii,asli
asliiiii,asli
aslinyo,aslinya
asoy,asyik
aspal,asli tetapi palsu
astafirullah,astagfirullah
astagaa,astaga
astagaaa,astaga
astagaaaa,astaga
astagaaaaaa,astaga
astagaaaaaaaa,astaga
astagfirrullah,astagfirullah
astagfirullh,astagfirullah
astauviruloh,astagfirullah
astgfrlh,astagfirullah
astgfrullah,astagfirullah
astrojim,astagfirullahaladzim
astul,asal tulis
asuuu,asu
asyikkkkk,asyik
atassan,atasan
atassss,atas
ath,kalau begitu
"ati""",hati-hati
ati2,hati-hati
ato,atau
ats,atas
atu,satu
atuh,kalau begitu
atuhh,kalau begitu
atuhhh,kalau begitu
atutt,takut
atuu,satu
atw,atau
au ah,tidak mau tahu
aurot,aurat
autuhh,tau tuh
ava,avatar
awaas,awas
awak,saya
awal2,awal-awal
awk,saya
awl,awal
awoohhh,allah
aws,awas
ay,sayang
ayahh,ayah
ayang,sayang
ayank,sayang
ayok,ayo
ayoklaa,ayolah
ayoo,ayo
ayooo,ayo
ayoook,ayo
ayoookkkkkk,ayo
ayoooo,ayo
ayooook,ayo
ayuk,ayo
ayukk,ayo
aza,saja
azaab,azab
azeeeek,asik
azekkkk,asik
b2,berdua
b2an,berduaan
b3,bertiga
b4,sebelum
baaaaaang,bang
baaiikkk,baik
baang,bang
baanget,banget
baanggeettt,banget
babget,banget
baca2,baca-baca
bacaaaa,baca
bacahalah,bacalah
bacot,banyak bicara
bacotin,bacoti
badaaiii,badai
badaii,badai
badingkan,membandingkan
bae2,baik-baik
baek,baik
baek2,baik-baik
bagaatt,banget
bagaimanaaa,bagaimana
bagaimna,bagaimana
baget,banget
bagi2,bagi-bagi
bagiii,bagi
bagiin,membagikan
bagus2,bagus-bagus
bagusnyeee,bagusnya
baguss,bagus
bagusss,bagus
bagussss,bagus
baguusss,bagus
baguuus,bagus
baguuuuus,bagus
bahas2,bahas-bahas
baik2,baik-baik
baik2nya,baik-baiknya
baikk,baik
baikxa,baiknya
bajir,banjir
baju.a,bajunya
baju2,baju-baju
baju'a,bajunya
bakalan,akan
bakar2in,bakar-bakari
bakattt,bakat
bales,balas
bales2in,balas-membalas
balesin,membalas
bandes,bantuan desa
bandingin,bandingkan
bangat,banget
bangcat,bangsat
bangdes,pembangunan desa
banged,banget
bangedd,banget
bangedh,banget
bangedt,banget
bangeeeeetttt,banget
bangeeeet,banget
bangeeet,banget
bangeeettt,banget
bangeer,banget
bangeet,banget
bangeett,banget
bangeettt,banget
banger,banget
bangets,banget
bangett,banget
bangettt,banget
bangetttt,banget
bangettttt,banget
bangetttttt,banget
bangettttttt,banget
bangetttttttt,banget
bangetttttyt,banget
bangg,bang
"bangga""in",membangga-banggakan
bangga2in,membangga-banggakan
banggain,banggakan
bangget,banget
banggett,banget
bangke,bangkai
bangkotan,tua
bangkret,bangkrut
bangrt,banget
bangshad,bangsat
bangt,banget
"bangt""",banget-banget
banhet,banget
banpol,bantuan polisi
banpres,bantuan presiden
banpur,bantuan tempur
bansarkas,bantuan sarana kesehatan
bante,bantai
bantuanny,bantuannya
bantuim,bantu
banx,bang
banyaaaaaak,banyak
banyaaaak,banyak
banyaak,banyak
banyak2,banyak-banyak
banyakin,membanyaki
bape,bawa perasaan
bapeeeer,bawa perasaan
bapeerr,bawa perasaan
baper,bawa perasaan
baperr,bawa perasaan
baraang,barang
barang2,barang-barang
barengg,bareng
baru2,baru-baru
baruu,baru
basbang,basi
basodaraa,bersaudara
bat,banget
batesin,batasi
batikk,batik
battt,banget
batwc,banget
"bawa""",bawa-bawa
bawa2,bawa-bawa
bawak,bawa
bayangin,bayangkan
bazengg,bajingan
bazis,"badan amal, zakat, infak, dan sedekah"
bbrp,beberapa
bbrpa,beberapa
bc,baca
bca,baca
bcanda,bercanda
bcnda,bercanda
bcoz,karena
bdampingan,berdampingan
bdan,badan
bdg,bandung
bdn,badan
beb,sayang
bebal,bodoh
bebrp,beberapa
beda2,beda-beda
bedaa,beda
bedaaa,beda
bedain,membedakan
bedainnya,membedakannya
bedakin,bedak
bedanyaaa,bedanya
bedua,berdua
begajulan,nakal
begete,banget
beginii,begini
beginiiii,begini
begok,bego
bejibun,banyak
bejilbbnya,berjilbabnya
"bela""in",membela-bela
